Original Sequence;Original Length;Transformed Sequence;Transformed Length
D Fb Bb L B Rb Ub Rb B R B U F F F Lb Fb L U L Ub Rb Rb Db B D Rb Rb B Db Bb L D F Lb Fb Lb D B L B Lb Db Bb D Lb D L Bb L B Lb Db Rb Db R D F D Fb Db D R F D Fb Db Rb Db B Rb Bb L B R Bb Lb D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;100;D F' B' L B R' U' R' B R B U F' L' F' L U L U' R2 D' B D R2 B D' B' L D F L' F' L' D B L B L' D' B' D L' D L B' L B L' D' R' D' R D F D F' D' D R F D F' D' R' D' B R' B' L B R B' L' D B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;93
Bb Rb D Lb Db L Db R Fb Rb Db R Db Rb Db L D Lb R Bb D R Db Bb Rb Bb Bb Rb R F D R Db Fb Rb Fb Db Lb Bb Lb B D L Bb Db B D R D Rb B Lb Db L D L Bb Lb D F R Fb Rb Db R D F Db Rb Fb D Fb Db F D F Lb Fb L Rb Bb Lb B R Bb L B D D Bb D D B D Bb Bb D F Db B D B Fb Db;104;B' R' D L' D' L D' R F' R' D' R D' R' D' L D L' R B' D R D' B' R' B2 R' R F D R D' F' R' F' D' L' B' L' B D L B' D' B D R D R' B L' D' L D L B' L' D F R F' R' D' R D F D' R' F' D F' D' F D F L' F' L R' B' L' B R B' L B D2 B' D2 B D B2 D F D' B D B F' D';100
R R Fb Db Fb R F L Bb Lb Bb Rb Bb R Db B Db Fb Db F D F Rb Db R Lb D L D D F L L Fb Rb Fb Fb R F Db F R Lb D L D B Db Bb Bb D B Rb B R Bb Lb Db L Fb Lb D L F B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;84;R2 F' D' F' R F L B' L' B' R' B' R D' B D' F' D' F D F R' D' R L' D L D2 F L2 F' R' F2 R F D' F R L' D L D B D' B2 D B R' B R B' L' D' L F' L' D L F B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L';78
Lb Db B B Lb Rb Fb L D Lb D L R D Rb F Lb Db Lb Fb Lb D F L D B Rb Ub Rb Bb Ub B R U R B B Ub B Ub Lb U L U B D B L B Lb Db Bb D Rb D R Fb R F Rb D Lb D L Bb L B Lb Fb Rb Db R D F D Rb Db Bb D B R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;104;L' D' B2 L' R' F' L D L' D L R D R' F L' D' L' F' L' D F L D B R' U' R' B' U' B R U R B2 U' B U' L' U L U B D B L B L' D' B' D R' D R F' R F R' D L' D L B' L B L' F' R' D' R D F D R' D' B' D B R D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';99
Lb D D R R D D Bb Bb L Db R D Lb Rb Db B Rb Bb Db Rb D R D Lb Lb D Lb Db L L Bb L B Rb Bb Rb B R Db B R D B D D L Bb Lb D D Bb B D Bb Db Lb Db L Lb Fb Db F D Lb Lb Lb D D Bb D D B D Bb Bb D F Db B D B Fb Db;84;L' D2 R2 D2 B2 L D' R D L' R' D' B R' B' D' R' D R D L2 D L' D' L2 B' L B R' B' R' B R D' B R D B D2 L B' L' D2 B' B D B' D' L' D' L L' F' D' F D L D2 B' D2 B D B2 D F D' B D B F' D';71
L U Lb F Lb Ub L B Lb U Bb L B Bb R D B D Bb Rb L D Lb D D D Bb Lb B Fb Lb Fb L D F R D B Rb Bb Rb B Lb Db L D L Bb Lb Rb Db Rb D D D Rb D R D R Db Db Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;92;L U L' F L' U' L B L' U B' L B B' R D B D B' R' L D L' D' B' L' B F' L' F' L D F R D B R' B' R' B L' D' L D L B' L' R' D' R' D' R' D R D R D2 F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;85
Db Lb Lb L Bb Lb L F Lb Lb Fb Lb Lb D L B D Bb Fb B Rb Rb Bb F R B R Bb Db Rb Db Lb Db Bb L B L Bb D B Rb B R Bb Rb B Db Bb Bb D B R B D Bb Rb Bb Db B D R Bb Bb Bb D Bb Db Bb L B Lb Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;98;D' L2 L B' L' L F L2 F' L2 D L B D B' F' B R2 B' F R B R B' D' R' D' L' D' B' L B L B' D B R' B R B' R' B D' B2 D B R B D B' R' B' D' B D R B D B' D' B' L B L' R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F;87
R F Ub L U Bb Ub F U Lb Ub Rb Fb Rb F U F Rb Fb Rb F U F Ub Lb B D Bb L D Lb Rb Rb Db B D Rb Rb B Db Bb Rb Fb Fb R F Db F R Db Lb Db Bb L B L D D Fb D F Lb F L Fb Rb Rb D Fb Rb F R Db R R D Bb Db Lb D L B D Rb Bb L B R Bb Lb B D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;116;R F U' L U B' U' F U L' U' R' F' R' F U F R' F' R' F U F U' L' B D B' L D L' R2 D' B D R2 B D' B' R' F2 R F D' F R D' L' D' B' L B L D2 F' D F L' F L F' R2 D F' R' F R D' R2 D B' D' L' D L B D R' B' L B R B' L' B D2 B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;107
U Fb Rb B R B R Bb B Fb R F Bb Lb R F F Rb L L Fb Db F Lb Db L Rb L Bb Bb R B U Rb Ub Lb D Fb Db F D L D Lb Rb Rb Db Db Rb Rb D D Rb Rb Rb B Db Bb Bb D B R B D Bb Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;110;U F' R' B R B R B' B F' R F B' L' R F2 R' L2 F' D' F L' D' L R' L B2 R B U R' U' L' D F' D' F D L D L' R2 D2 R2 D2 R B D' B2 D B R B D B' L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;95
Db B B Db Rb Rb Ub R U Fb Bb Db Db B L D Lb B Db Bb F D D Fb D R B R Bb Db Rb Rb Bb Rb B R Db B R D Fb Fb Db Db F F D D F F Lb F F Db F D Fb Fb L L F F L F Rb Rb Fb Lb F Rb Rb F Lb D Fb Db F B Db Db Fb Db F Db Db Bb;86;D' B2 D' R2 U' R U F' B' D2 B L D L' B D' B' F D2 F' D R B R B' D' R2 B' R' B R D' B R D F2 D2 F2 D2 F2 L' F2 D' F D F2 L2 F2 L F R2 F' L' F R2 F L' D F' D' F B D2 F' D' F D2 B';68
