Original Sequence;Original Length;Transformed Sequence;Transformed Length
L F D D R R B Rb Bb Fb D F Rb L Bb R Lb R B R Bb Ub Bb U Lb Lb D Lb Db L L Bb L B Bb Lb D Bb Lb B L B Lb F L Fb L D L L L R D Rb Db Rb B R Bb B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;104;L F D2 R2 B R' B' F' D F R' L B' R L' R B R B' U' B' U L2 D L' D' L2 B' L B B' L' D B' L' B L B L' F L F' L D L' R D R' D' R' B R B' B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L' D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;94
L Rb D B B Rb B R L Db Lb Rb Db Fb Db F R D F L B B Lb Ub B Ub Lb U U Bb D B Lb Bb L B L Db Bb F D R Fb Rb Fb L L L Db Lb Db L L D L D L D R F D Fb Db Rb D D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;88;L R' D B2 R' B R L D' L' R' D' F' D' F R D F L B2 L' U' B U' L' U2 B' D B L' B' L B L D' B' F D R F' R' F' L' D' L' D' L2 D L D L D R F D F' D' R' D2 B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;78
U Rb F R Db L Db Lb Fb B Rb Rb F Bb R Db Rb Bb Db B R R L L Ub Ub Lb R R Lb R Bb D R Db Bb Rb Bb Bb Rb Db B L D Lb Bb Db Bb Lb B L D F Lb Fb Lb D Lb D L D B Db Bb Db Db Rb Fb Db F R Fb D F Db Rb Db Rb Rb Db R R Db Db R Db Bb D B Rb Bb R Fb Rb B R F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;120;U R' F R D' L D' L' F' B R2 F B' R D' R' B' D' B R2 L2 U2 L' R2 L' R B' D R D' B' R' B2 R' D' B L D L' B' D' B' L' B L D F L' F' L' D L' D L D B D' B' D2 R' F' D' F R F' D F D' R' D' R2 D' R2 D2 R D' B' D B R' B' R F' R' B R F D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';107
B U B R F Rb Ub F U Lb Fb B Rb F Bb R F D Fb D Rb Lb D L D F Lb Fb Lb Bb Db B L D B Lb Db L Fb Db Lb F L F B D L Bb Lb Bb B L Db Lb Bb L D Lb D D F Lb Fb L Fb Db F Lb Fb Db F D Lb Lb Lb Lb Db Fb D F L D Rb Bb L B R Lb Db Lb D L;92;B U B R F R' U' F U L' F' B R' F B' R F D F' D R' L' D L D F L' F' L' B' D' B L D B L' D' L F' D' L' F L F B D L B' L' B' B L D' L' B' L D L' D2 F L' F' L F' D' F L' F' D' F D D' F' D F L D R' B' L B R L' D' L' D L;87
B Rb Rb B R Fb Db F Fb Rb F B Fb R R Bb F F R Ub Fb Rb Ub F Ub Ub Ub Lb Lb Db F D Lb F Db Fb Lb Fb Lb Fb L D F B L B Lb Db Bb Db Lb F L Fb L D Lb Rb B Db Bb Bb D B R B D Bb R D Rb Db Rb B R Bb Fb Rb Bb R B F Bb Rb B R;86;B R2 B R F' D' F F' R' F B F' R2 B' F2 R U' F' R' U' F U L2 D' F D L' F D' F' L' F' L' F' L D F B L B L' D' B' D' L' F L F' L D L' R' B D' B2 D B R B D B' R D R' D' R' B R B' F' R' B' R B F B' R' B R;79
Lb Fb Rb Rb Bb D B Bb L L B Db F D Fb Lb Db B Db Bb L D L Rb L B Lb R Db Fb Lb Fb L D F D Lb Db Bb L B L L Db Lb Db Fb D F Rb B R Bb Rb Rb Rb D Rb R F L Fb Rb F Lb Fb Fb R F Lb Fb Rb F Lb Lb Lb;76;L' F' R2 B' D B B' L2 B D' F D F' L' D' B D' B' L D L R' L B L' R D' F' L' F' L D F D L' D' B' L B L2 D' L' D' F' D F R' B R B' R D R' R F L F' R' F L' F2 R F L' F' R' F L;68
Ub Fb Fb Lb B Rb Bb D Rb B R F Db Fb Rb Db R Lb Bb Lb B Db L Lb Lb U Bb Ub L L Bb L B Rb Db Fb Db F D R F D R B R Bb Db Rb Rb Lb B B Lb Lb B B L R B Rb Bb R Bb Db B Rb B Db Bb Bb D B R B D Bb R F D Fb Db Rb Db D Rb Db Bb D B R;90;U' F2 L' B R' B' D R' B R F D' F' R' D' R L' B' L' B D' L L2 U B' U' L2 B' L B R' D' F' D' F D R F D R B R B' D' R2 L' B2 L2 B2 L R B R' B' R B' D' B R' B D' B2 D B R B D B' R F D F' D' R' D' D R' D' B' D B R;82
F D Lb Db L Lb F L R D Rb F Bb Lb B Fb Rb L Bb Bb Lb R Rb Fb Rb F Db R Fb Lb Fb L D F Rb Bb Rb B R Db B R D F Db Fb R Fb Rb F Rb Rb D Fb Rb F R Db R R D Bb Bb Bb D Bb Db Bb L B Lb L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;116;F D L' D' L L' F L R D R' F B' L' B F' R' L B2 L' R R' F' R' F D' R F' L' F' L D F R' B' R' B R D' B R D F D' F' R F' R' F R2 D F' R' F R D' R2 D B D B' D' B' L B L' L2 D L U' D' U D2 L' D' L' D' L' D L' D' U' D U D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;106
B Bb L L B F Db Fb Rb Db R Bb F L Fb B D B R R Bb D D Rb Db R B Db Bb Db Rb B R Rb Fb Fb R F Db F R Lb Bb Lb B D L Bb Rb B Db Bb D R B Db Fb D F D L F Db Db Db L Db Lb Fb Lb D Lb Db Fb D F L D Lb Fb Rb F L Fb R F;86;B B' L2 B F D' F' R' D' R B' F L F' B D B R2 B' D2 R' D' R B D' B' D' R' B R R' F2 R F D' F R L' B' L' B D L B' R' B D' B' D R B D' F' D F D L F D L D' L' F' L' D L' D' F' D F L D L' F' R' F L F' R F;80
Ub Db L L Rb L B D Bb D Lb F Db Fb Bb D L B L Db Bb D Lb Db B Rb Bb Db Rb D R D Lb Bb Lb B U B Ub D F R R Fb Rb D Rb Fb Fb Fb Db Db F F D D F F D R Fb Rb F Rb Db R R F D Fb Db Rb Db Lb Lb Lb B D Bb D Lb Db L Db Lb D D Bb D D B D Bb Bb D F Db B D B Fb Db;102;U' D' L2 R' L B D B' D L' F D' F' B' D L B L D' B' D L' D' B R' B' D' R' D R D L' B' L' B U B U' D F R2 F' R' D R' F D2 F2 D2 F2 D R F' R' F R' D' R2 F D F' D' R' D' L B D B' D L' D' L D' L' D2 B' D2 B D B2 D F D' B D B F' D';88
B L D B B R Db Rb B Fb R R Bb F Lb R Fb Rb L B Rb B R B B Lb Lb Lb F L Fb Ub Fb U Rb Fb Fb R F Db F R B L B Lb Db Bb L Db Lb Db Fb D F Fb Rb Db Fb R R F R D F Db R D Rb Db Rb B R Bb Fb R F Lb Fb Rb F Lb Lb Lb;84;B L D B2 R D' R' B F' R2 B' F L' R F' R' L B R' B R B2 L F L F' U' F' U R' F2 R F D' F R B L B L' D' B' L D' L' D' F' D F F' R' D' F' R2 F R D F D' R D R' D' R' B R B' F' R F L' F' R' F L;75
Bb Lb Lb Bb Lb F L R D Rb Lb F Lb Fb Lb Lb F Db Fb Rb Db R Rb B D Bb R B Db R Bb Rb Fb Rb F D R B L B Lb Db Bb Bb D B Rb B R Bb Db Fb D F D L F Db Db Db L Db Lb Fb Lb D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;92;B' L2 B' L' F L R D R' L' F L' F' L2 F D' F' R' D' R R' B D B' R B D' R B' R' F' R' F D R B L B L' D' B2 D B R' B R B' D' F' D F D L F D L D' L' F' L' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;84
B Fb D Rb Rb Db R Fb B Rb F Bb D D L Db Lb B Db Bb L Fb Fb D Fb Db F F Lb F L D Fb Db F D L D Lb R D B Rb Bb Rb Lb D Bb Db Bb L B Lb D B L Db F R Lb Rb L R F R Lb Rb Fb Rb L Fb D R F D Fb Db Rb D D Rb Db Bb D B R Rb Bb L B R Lb Db Lb D L;96;B F' D R2 D' R F' B R' F B' D2 L D' L' B D' B' L F2 D F' D' F2 L' F L D F' D' F D L D L' R D B R' B' R' L' D B' D' B' L B L' D B L D' F R L' R' L R F R L' R' F' R' L F' D R F D F' D' R' D2 R' D' B' D B R R' B' L B R L' D' L' D L;91
L U R D Bb Lb B D Bb Db B Lb R F Rb L Fb Rb Rb F D Fb R F Db R Bb D R Db Bb Rb Bb Bb Rb Lb Lb Lb F L Fb Ub Fb U Rb Fb Rb F D R Rb Lb B B Lb Lb B B L R Lb D L Bb L B Lb D R Db Rb B Rb Bb R D Rb Bb Db B D R Rb Bb Lb B R Bb L B R Db Fb Db F D D Rb Fb R Db Rb F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;130;L U R D B' L' B D B' D' B L' R F R' L F' R2 F D F' R F D' R B' D R D' B' R' B2 R' L F L F' U' F' U R' F' R' F D R R' L' B2 L2 B2 L R L' D L B' L B L' D R D' R' B R' B' R D R' B' D' B D R R' B' L' B R B' L B R D' F' D' F D2 R' F' R D' R' F D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;119
L B B Rb Lb Db L Db F Bb Lb B Fb R B R Bb Ub Bb U F F F Lb Fb L U L Ub Rb U Rb F R Ub R U Rb Ub Bb Db Rb B R B Lb Bb Lb B D L Rb D R Fb R F Rb Rb Bb Db Rb B R B D R D D Lb Db Fb D F L Lb Db Db L D Lb D L Db Db Rb D L Db R D Lb Db Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;118;L B2 R' L' D' L D' F B' L' B F' R B R B' U' B' U F' L' F' L U L U' R' U R' F R U' R U R' U' B' D' R' B R B L' B' L' B D L R' D R F' R F R2 B' D' R' B R B D R D2 L' D' F' D F L L' D2 L D L' D L D2 R' D L D' R D L' D2 F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;107
U R Bb R Bb D Rb Fb R U F Rb Rb D R Fb D D F Db B D Bb Bb F Lb U L Ub Lb Fb Lb B D R B R Bb Db Rb Rb Lb B B Lb Lb B B L R B Lb Db L D L Bb Lb Lb F F Db F D Fb Fb L Bb Db Lb D L B Bb Lb Fb L B Lb F L D B Db Fb D Bb Db F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;104;U R B' R B' D R' F' R U F R2 D R F' D2 F D' B D B2 F L' U L U' L' F' L' B D R B R B' D' R2 L' B2 L2 B2 L R B L' D' L D L B' L2 F2 D' F D F2 L B' D' L' D L B B' L' F' L B L' F L D B D' F' D B' D' F D' F' R' D R F D F2 R F R' F;91
Fb Rb B U Fb Ub B Rb Bb Bb F Lb Fb B Fb D F Rb D R Fb Bb Lb Bb D Lb Db Lb B L Bb Db Rb F D R D Rb Fb Fb D F D L Db Lb D Lb D L D B Db Bb Db Db Rb Fb Db F R Fb D F Rb Db Rb D D D Rb D R D R Rb Bb Lb B R Bb L B Fb D B Db F D Bb Db Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;106;F' R' B U F' U' B R' B2 F L' F' B F' D F R' D R F' B' L' B' D L' D' L' B L B' D' R' F D R D R' F2 D F D L D' L' D L' D L D B D' B' D2 R' F' D' F R F' D F R' D' R' D' R' D R D R R' B' L' B R B' L B F' D B D' F D B' D2 F' R' D R F D F2 R F R' F;97
R B Fb D Rb F Bb Lb B Fb U L Ub L D Lb Fb Db F Bb Db R B R Bb Db Rb B R F D R Db Fb Rb Fb Fb Db Lb F L F B D L Bb Lb Bb Db Lb D L Bb L B Lb Db Db F Db Fb R Fb Rb F D Lb Db Fb D F L B R D Rb Db Bb D F F D F Ub D U Fb Db Fb Db Fb D F F F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;122;R B F' D R' F B' L' B F' U L U' L D L' F' D' F B' D' R B R B' D' R' B R F D R D' F' R' F2 D' L' F L F B D L B' L' B' D' L' D L B' L B L' D2 F D' F' R F' R' F D L' D' F' D F L B R D R' D' B' D F2 D F U' D U F' D' F' D' F' D F' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;114
D L L Db Bb Bb Db F Db Fb Db B D Bb F Bb Lb B Fb B U F Ub Rb Fb R R Bb F Bb L B U B Ub Lb Fb Fb D D Fb Fb D D F F Rb Bb Db Rb B R B D R D Rb Bb Db B D R R B Fb Bb Rb B R F R R R Bb;74;D L2 D' B2 D' F D' F' D' B D B' F B' L' B F' B U F U' R' F' R2 B' F B' L B U B U' L' F2 D2 F2 D2 F2 R' B' D' R' B R B D R D R' B' D' B D R2 B F' B' R' B R F R' B';63
Lb Bb Rb Rb Lb Fb L Lb D F D Fb Db Fb L L Rb B B Lb R Fb B Rb Bb F Bb F Lb U L Ub Lb Fb Lb B Fb Fb D D Fb Fb D D F F B L Db Lb Bb L D Lb Db Fb D F D L F Db Db Db L Db Lb Fb Lb Db R D F Db Fb Rb Db Rb Bb R Fb Rb B R F Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F R F L Fb Rb F Lb Fb;108;L' B' R2 L' F' L L' D F D F' D' F' L2 R' B2 L' R F' B R' B' F B' F L' U L U' L' F' L' B F2 D2 F2 D2 F2 B L D' L' B' L D L' D' F' D F D L F D L D' L' F' L' D' R D F D' F' R' D' R' B' R F' R' B R F D' F' R' D R F D F2 R F R' F R F L F' R' F L' F';95
Ub B Bb D D B Ub F U Lb B L B Lb Ub Lb U Lb Db L D F L Fb D R F D Rb Fb Rb Db Rb F R Lb Fb Rb L Lb Bb Lb B D L Db Db R D Rb Db Bb Db B D D F Lb Fb L Fb Db F R F D Fb Db Rb D L D B Db Bb Lb Db D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;104;U' B B' D2 B U' F U L' B L B L' U' L' U L' D' L D F L F' D R F D R' F' R' D' R' F R L' F' R' L L' B' L' B D L D2 R D R' D' B' D' B D2 F L' F' L F' D' F R F D F' D' R' D L D B D' B' L' D' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;98
F Rb Rb Ub R U Fb Lb D L L B Lb Db Bb Db B F R D Rb Fb Db Fb Rb F Fb Lb Fb L U L Ub L F L Fb Db Lb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb R R U F Ub Fb Rb F Rb D F R Fb Rb Db R D F Db Rb Fb D R F D Fb Db Rb Db Bb Bb Bb D Bb Db Bb L B Lb B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;136;F R2 U' R U F' L' D L2 B L' D' B' D' B F R D R' F' D' F' R' F F' L' F' L U L U' L F L F' D' L' D R D' R' F' R D F' R' F2 R2 U F U' F' R' F R' D F R F' R' D' R D F D' R' F' D R F D F' D' R' D' B D B' D' B' L B L' B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L' D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;124
B U Fb Db Db L L Lb Bb L Db R Db Rb R R L L Ub Ub Lb R R Lb Db Lb Fb Db L F L D L Fb Fb Fb Fb D Fb Db Lb Fb L D R B R Bb Db Rb Db L D F Lb Fb Lb Bb Rb Bb L B Lb R B D Lb D L Bb L B Lb Db Db D R R R Db Rb L Rb Rb D D Rb Db R Db Db Lb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;122;B U F' D2 L2 L' B' L D' R D' R' R2 L2 U2 L' R2 L' D' L' F' D' L F L D L D F' D' L' F' L D R B R B' D' R' D' L D F L' F' L' B' R' B' L B L' R B D L' D L B' L B L' D2 D R' D' R' L R2 D2 R' D' R D2 L' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;104
U B Rb Db Lb Lb D D Rb D R B Fb R Bb F Lb Fb Db Db F L B L B Lb Ub Lb U Rb Fb Fb R F Db F R D D Rb D R Fb R F Rb Bb Rb Db B Rb Bb R D R Db B B R L Rb B Rb Bb Lb R Bb Rb Bb L B R Bb Lb B D D Bb D D B D Bb Bb D F Db B D B Fb Db Bb Lb F L B Lb Fb L;100;U B R' D' L2 D2 R' D R B F' R B' F L' F' D2 F L B L B L' U' L' U R' F2 R F D' F R D2 R' D R F' R F R' B' R' D' B R' B' R D R D' B2 R L R' B R' B' L' R B' R' B' L B R B' L' B D2 B' D2 B D B2 D F D' B D B F' D' B' L' F L B L' F' L;91
Db L L Db Bb Bb Db F Lb Fb Db F Db Fb Lb F Lb Fb Lb Lb Bb Lb Db L Db B R F R U R F F Rb Fb Ub Fb R Rb B R U R Ub Bb B L B Lb Db Bb Bb Rb Bb L B Lb R B Lb F L Fb L D L L L Bb Db Lb D L B Lb Db Db L D Lb D L Db Db B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;104;D' L2 D' B2 D' F L' F' D' F D' F' L' F L' F' L2 B' L' D' L D' B R F R U R F2 R' F' U' F' R R' B R U R U' B' B L B L' D' B2 R' B' L B L' R B L' F L F' L D L' B' D' L' D L B L' D2 L D L' D L D2 B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L';94
L Lb Ub L Rb D R Rb Db B B D R Rb L Bb Bb Lb R Bb Rb Db R B B D R Db Bb Rb Fb Rb F D R Rb Lb B B Lb Lb B B L R Lb Bb Lb F L Fb B L Lb F F Db F D Fb Fb L D Lb Db Fb D F L D R Db Fb Db F D D Rb Fb R Db Rb F D D Bb D D B D Bb Bb D F Db B D B Fb Db;100;L L' U' L R' D R R' D' B2 D R R' L B2 L' R B' R' D' R B2 D R D' B' R' F' R' F D R R' L' B2 L2 B2 L R L' B' L' F L F' B L L' F2 D' F D F2 L D L' D' F' D F L D R D' F' D' F D2 R' F' R D' R' F D2 B' D2 B D B2 D F D' B D B F' D';88
Bb Lb F D Lb Db L D Rb Db R Bb Db Db B F Bb Lb Lb B Fb D F D Fb R D Rb Db Rb F Db Fb Db Lb F L R B R Bb Db Rb Lb Bb Lb B D L Fb D F Lb F L Fb Bb Rb Bb L B R Lb B D D R R R Db Rb L Rb Rb D D Rb Db R Db Db Lb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;112;B' L' F D L' D' L D R' D' R B' D2 B F B' L2 B F' D F D F' R D R' D' R' F D' F' D' L' F L R B R B' D' R' L' B' L' B D L F' D F L' F L F' B' R' B' L B R L' B D2 R' D' R' L R2 D2 R' D' R D2 L' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;102
Lb R B Ub Bb L Db Lb Db B Rb Bb Rb Bb Db B Db R Db B D L D Lb Db Bb Lb Bb Db B D B Lb Db L Rb Fb Fb R F Db F R D R Db Rb Fb R Db Db Db Fb Rb Fb Fb B Lb Db L D L Bb Lb Rb Db Rb D D D Rb D R D R Bb Lb Db L D B Bb Bb Bb D Bb Db Bb L B Lb Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;118;L' R B U' B' L D' L' D' B R' B' R' B' D' B D' R D' B D L D L' D' B' L' B' D' B D B L' D' L R' F2 R F D' F R D R D' R' F' R D F' R' F2 B L' D' L D L B' L' R' D' R' D' R' D R D R B' L' D' L D B B D B' D' B' L B L' R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F;106
Ub Lb F Bb D B Rb Lb Fb L D Lb Db L B L B Lb Ub Lb U D Fb L D Lb F D Fb Bb F Lb U L Ub Lb Fb Lb B Rb Fb Rb F D R Bb L B U B Ub Lb D D Lb Db Bb L B L Lb Db L Fb Lb D L F Lb Fb Db F D L R D Rb Db Rb B R Bb Db Rb Bb Db B D R F L B Lb Fb L Bb Lb D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;118;U' L' F B' D B R' L' F' L D L' D' L B L B L' U' L' U D F' L D L' F D F' B' F L' U L U' L' F' L' B R' F' R' F D R B' L B U B U' L' D2 L' D' B' L B L L' D' L F' L' D L F L' F' D' F D L R D R' D' R' B R B' D' R' B' D' B D R F L B L' F' L B' L' D F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;115
Lb Db Rb Rb Rb Db R Bb L L B Db L D Lb Db B D B Lb Db L Db Bb D B B Ub B Ub Lb U L U B L F L Fb Db Lb B D L Bb Lb Bb Lb D Bb Db Bb L B Lb D B L Db F R Lb Rb L R F R Lb Rb Fb Rb L Fb Rb Bb Db B D R Bb Bb Bb D Bb Db Bb L B Lb B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;134;L' D' R D' R B' L2 B D' L D L' D' B D B L' D' L D' B' D B2 U' B U' L' U L U B L F L F' D' L' B D L B' L' B' L' D B' D' B' L B L' D B L D' F R L' R' L R F R L' R' F' R' L F' R' B' D' B D R B D B' D' B' L B L' B R' L' R L2 R' L' B' L B' L B' R B R' L' R B L' D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;124
R Lb Lb Bb D B B B L Bb Bb Lb Bb L D Lb B Fb R R Bb F F F F Lb Fb L U L Ub Rb Bb R D B D Bb D R B R Bb Db Rb Rb Bb Rb B R Db B R D F D R Fb Rb Fb D D F Lb Fb L Fb Db F D R F D Fb Db Rb D D Rb Db Bb D B R Rb Bb L B R Lb Db Lb D L;94;R L2 B' D B' L B2 L' B' L D L' B F' R2 B' L' F' L U L U' R' B' R D B D B' D R B R B' D' R2 B' R' B R D' B R D F D R F' R' F' D2 F L' F' L F' D' F D R F D F' D' R' D2 R' D' B' D B R R' B' L B R L' D' L' D L;82
U Lb Rb Bb R Bb F L Fb B L L Fb Fb L L F D Fb Db Lb Fb L Rb D R F D Fb B D L Bb Lb Bb Lb Fb Lb Db Fb D L F L Rb B Db Bb Bb D B R B D Bb Db Db R F D Fb Db Rb D R Db Fb Db F D D Rb Fb R Db Rb F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;104;U L' R' B' R B' F L F' B L2 F2 L2 F D F' D' L' F' L R' D R F D F' B D L B' L' B' L' F' L' D' F' D L F L R' B D' B2 D B R B D B' D2 R F D F' D' R' D R D' F' D' F D2 R' F' R D' R' F D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;95
Rb B Fb L Db Lb D Lb Db L Db F D Fb R B R Bb Ub Bb U Db Db Bb D B Lb D L Bb Db Fb Db Lb F L F Db Lb D L Bb L B Lb Db Rb Db Rb Rb Db R R Db Db R Db Bb D B D R F D Fb Db Rb Db D Rb Db Bb D B R Lb U Lb Db Ub D Lb Lb U D L Db L D Lb Lb Ub Db D D Bb D D B D Bb Bb D F Db B D B Fb Db R B Fb Bb Rb B R F R R R Bb;122;R' B F' L D' L' D L' D' L D' F D F' R B R B' U' B' U D2 B' D B L' D L B' D' F' D' L' F L F D' L' D L B' L B L' D' R' D' R2 D' R2 D2 R D' B' D B D R F D F' D' R' D' D R' D' B' D B R L' U L' D' U' D L2 U D L D' L D L2 U' D' D2 B' D2 B D B2 D F D' B D B F' D' R B F' B' R' B R F R' B';111
Lb D F F Lb D F D Fb Db Fb L B D Bb Db Rb Bb R Bb Bb Fb U F Bb U Fb Ub Bb B U F Ub Rb Fb R R Bb F R Fb Rb Ub Rb U F F D R Fb Rb Fb B D D R Db Rb Db Db Bb D R Fb Rb F Rb Db R Lb Db Fb D F L D Lb Fb Rb F L Fb R F;84;L' D F2 L' D F D F' D' F' L B D B' D' R' B' R B2 F' U F B' U F' U' B' B U F U' R' F' R2 B' F R F' R' U' R' U F2 D R F' R' F' B D2 R D' R' D2 B' D R F' R' F R' D' R L' D' F' D F L D L' F' R' F L F' R F;78
B U U D D Lb Ub L U Bb D Rb Db R L Rb Bb Bb R Lb R B R Bb Ub Bb U Ub Bb Ub B U B U B Ub Bb Db B L D Lb Bb Db Bb Lb B Bb Db Rb B R B Fb Fb D D Fb Fb D D F F Fb Rb D Fb Rb F R F Lb F L Fb L D L L L D R F D Fb Db Rb D Bb Bb Bb D Bb Db Bb L B Lb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;128;B U2 D2 L' U' L U B' D R' D' R L R' B2 R L' R B R B' U' B' U U' B' U' B U B U B U' B' D' B L D L' B' D' B' L' B B' D' R' B R B F2 D2 F2 D2 F2 F' R' D F' R' F R F L' F L F' L D L' D R F D F' D' R' D B D B' D' B' L B L' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;114
B U U Fb Lb Lb F L B Db Bb Rb L Bb Lb R Fb Rb F Bb Rb B R B Lb R F F Rb L Lb Lb D Lb Db L L Bb L B Rb Fb Rb F D R B L B Lb Db Bb B Rb Bb R Bb Db B Db L D Lb Db Fb Db F Bb Db Lb D L B F L D Lb Db Fb D R F L Fb Rb F Lb Fb;88;B U2 F' L2 F L B D' B' R' L B' L' R F' R' F B' R' B R B L' R F2 R' L L2 D L' D' L2 B' L B R' F' R' F D R B L B L' D' B' B R' B' R B' D' B D' L D L' D' F' D' F B' D' L' D L B F L D L' D' F' D R F L F' R' F L' F';83
L Lb Ub L L Bb Lb Bb D B Rb Db F Db Fb L B Lb Db Bb Db B L Fb Db F Lb Db L Fb Db F R D F Db Rb Db Fb Lb Fb L D F D R Db Rb Fb R Db Db Db Fb Rb Fb Fb Bb Rb Bb L B Lb R B B R L Rb B Rb Bb Lb R Bb D Rb Bb Lb B R Bb L B R Db Fb Db F D D Rb Fb R Db Rb F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;124;L L' U' L2 B' L' B' D B R' D' F D' F' L B L' D' B' D' B L F' D' F L' D' L F' D' F R D F D' R' D' F' L' F' L D F D R D' R' F' R D F' R' F2 B' R' B' L B L' R B2 R L R' B R' B' L' R B' D R' B' L' B R B' L B R D' F' D' F D2 R' F' R D' R' F D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;115
L B F Ub L U Bb R Fb Fb Rb B D Bb Fb B R F Bb Rb Db Fb Db F D R F D R B R Bb Db Rb R D Rb Db Bb Db B Lb Lb D D L D D Lb Lb D D F Lb Fb L Fb Db F D Db Rb Bb Db B D R R Db Fb Db F D D Rb Fb R Db Rb F Rb Bb L B R Lb Db Lb D L;90;L B F U' L U B' R F2 R' B D B' F' B R F B' R' D' F' D' F D R F D R B R B' D' R' R D R' D' B' D' B L2 D2 L D2 L2 D2 F L' F' L F' D' F D D' R' B' D' B D R2 D' F' D' F D2 R' F' R D' R' F R' B' L B R L' D' L' D L;82
F Lb Lb Bb Bb L D Lb B Fb R F Bb Lb R Fb Rb L Lb D L B D Bb Rb U Rb F R Ub R U Rb Ub B D Bb Db Lb Db L D R Db Rb Fb R Db Db Db Fb Rb Fb Fb D Lb F L Fb L D Lb Db Rb Db R D F D Fb Db Db Rb Bb Db B D R Lb Db Fb D F L D R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;106;F L2 B2 L D L' B F' R F B' L' R F' R' L L' D L B D B' R' U R' F R U' R U R' U' B D B' D' L' D' L D R D' R' F' R D F' R' F2 D L' F L F' L D L' D' R' D' R D F D F' D2 R' B' D' B D R L' D' F' D F L D R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;99
