Date;Start Run Timestamp;Parameter Set;Run Number;Run Duration (hh:mm:ss);Total Correct Pieces;Last Improvement Iteration;Sequence Length;Total Move Sequence;Improvement Count;Learned Sequence Reuse Count
2025-03-31;21:54:56;P5;30;00:07:58;18;15.270.000;86;L Bb Db F F Lb Db L F Db Fb Lb R Fb Rb L F R D Rb Fb Db Fb Rb F Bb D B Lb Bb L B L Db Bb Rb Fb Fb R F Db F R D L F D F Lb Fb Db Fb Lb L D L D Lb Lb Db Lb Db Lb D Rb Bb Db B D R D Bb Db Lb D L B D R F L Fb Rb F Lb Fb;1;14
2025-03-31;22:02:54;P2;31;00:00:00;16;0;72;R B Fb Fb Db R Db Rb Db L Db Lb Rb D R F D Fb Rb L Bb Bb Lb R Lb D L D D F L L Fb Bb L B U B Ub Lb Rb D R D F Db Fb Db Lb D L Bb L B Lb Fb Lb Fb R F L Rb F Db B R F Rb Bb R Fb Rb;0;14
2025-03-31;22:02:54;P5;32;00:08:40;16;0;97;D L R F Rb Fb D R R F Fb Lb F F L F B Fb R Bb F B L B Lb Ub Lb U Lb D L D D F L L Fb Fb Db Lb F L F Rb B R U Rb Rb Rb Ub Bb Db Db R D Rb Db Bb Db B Lb Bb L B Db Bb Lb B Lb Lb Lb D R F D Fb Db Rb D B R D Rb Db Bb D B R Fb Rb B B B R F Rb;0;15
2025-03-31;22:11:35;P1;33;00:00:00;15;0;92;U L F Ub Bb U Fb R U F Rb Bb F L Fb B Lb R F F Rb L Rb D R Bb D B Rb L Rb B B R Lb Bb Db Rb B R B Db F D R Fb Rb Fb B L Db Lb Bb L D Lb Lb B F Bb Bb Lb Fb L B L Fb Rb Db R D F Fb Fb Bb U F B Ub Ub Bb Ub B Ub Bb Fb Ub Ub F U B F;0;14
2025-03-31;22:11:35;P2;34;00:05:55;7;0;26;U F L Ub Fb U Fb R F Bb D B Rb Bb Db B Db R Bb Lb B Lb Db L D L;0;7
2025-03-31;22:17:30;P3;35;00:08:39;16;0;83;Lb Lb Lb F L R Ub R U Fb R B R Bb D Rb L Fb Db F Lb Db L Rb L Bb R Lb D L F Db Lb Fb Lb D F Bb Db Rb B R B D F R R Fb Rb D Rb Fb Fb Lb Fb R F L Rb F Rb Bb Db B D R Db F F D F Ub D U Fb Db Fb Db Fb D F F F;0;13
2025-03-31;22:26:10;P1;36;00:00:00;15;0;86;F Ub Ub Bb Rb B L Bb Bb Lb Bb Bb Rb U B U Bb Ub R Fb Rb F Bb Rb B R B Bb R D B D Bb Rb Lb Lb Lb F L Fb Ub Fb U Fb Lb Fb L D F Lb D L D B Db Bb Bb D B Rb B R Bb Rb D R Fb R F Rb Lb Fb Db F D Lb Lb Lb Bb Lb Fb L B Lb F L;0;13
2025-03-31;22:26:10;P5;37;00:08:41;16;0;86;L Bb Ub L U Bb D Rb Db R Lb R Fb Rb L L B Lb Db Bb Db B Lb D L D F Lb Fb Rb D R Bb Rb B R B Db Rb B D Bb Db Lb Db L Fb Fb D D Fb Fb D D F F R B R Bb Db Rb Db Db F Db Fb R Fb Rb F B R D Rb Db Bb D F L B Lb Fb L Bb Lb;0;14
2025-03-31;22:34:51;P3;38;00:08:39;16;0;77;F Ub Ub R B Fb R F Bb D B Rb F Db Fb L B Db Db Bb D Lb B B D Bb Db Bb Bb Rb B R Db B L D Lb Bb Db Bb Lb B Rb Fb Rb F D R Bb Db B D R D Rb D L F L Fb Db Lb Lb Db L Fb Lb D L F Db Rb Bb Db B D R;0;13
2025-03-31;22:43:31;P3;39;00:08:43;16;0;81;Ub Db L L D F F R B Db Bb Rb Db R R Db Db Rb Rb D R Lb Lb Db F D Lb F Db Fb Lb Bb Db Rb B R B Rb Lb B B Lb Lb B B L R Db Lb F L Fb L D Lb Rb Fb Rb Fb B F R Bb F R Rb Bb Lb B R Bb L B Rb Bb L B R Bb Lb B;0;14
2025-03-31;22:52:15;P2;40;00:00:00;16;0;90;F Ub Ub Lb B B Bb U Bb Ub L B F Db Fb Rb Db R Bb F L Fb B R B R Bb D Rb Rb Rb F D Fb Db R F D Fb D F R R Fb Rb D Rb Fb F Db Fb R Fb Rb F D Lb D L Bb L B Lb Lb Fb Db F D Lb Lb Lb Lb Db Fb D F L D Rb Rb Db Rb Db R D R D R Db R;0;14
2025-03-31;22:52:15;P1;41;00:00:00;15;0;84;R R U Rb B Ub Lb U Lb Fb Fb L Lb Db Db L Lb R F F Rb L F R D Rb Fb Db Fb Rb F Lb D L D D F L L Fb Fb Lb Fb L D F B L B Lb Db Bb D Lb F L Fb L D Lb Rb Db Rb D D D Rb D R D R Rb Bb Db B D R Lb Db Fb D F L D;0;14
2025-03-31;22:52:15;P3;42;00:08:37;16;0;110;Ub F F R Ub B U Rb Bb Ub L U Fb Lb F F L F Bb Db Db B Lb B D Bb L D Lb R Lb Fb Rb L D R B R Bb Db Rb B L B Lb Db Bb Lb Lb D D L D D Lb Lb Fb Lb Fb R F L Rb F Bb Lb Db L D B Rb L Rb Lb R Lb B L B Rb Lb R Bb Lb Bb Lb B R Lb Lb L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U;0;15
2025-03-31;23:00:53;P3;43;00:08:42;16;0;99;Db Bb Fb Db Db F D Bb Db B Bb Rb Bb R U R Ub L Fb Lb Db L F D Lb F Db F F Lb Fb L F D F R F D R Db Fb Rb Fb R B R Bb Db Rb Rb Lb B B Lb Lb B B L R Lb Bb Lb F L Fb B L D Bb Rb B Db Bb D R B Lb Fb Db F D Lb Lb Lb Lb Fb Db F D L Db Rb Bb L B R Bb Lb B;0;14
2025-03-31;23:09:35;P3;44;00:08:35;16;0;86;Bb Rb Db Fb Rb B U Bb R Db L Db Lb R D Rb Rb L Bb Bb Lb R Lb Fb Lb F L F L F Lb Fb Fb Db Lb F L F Db Db L F L Fb Db Lb R R U F Ub Fb Rb F Rb Db R Db Rb B Rb Bb R Lb Fb Db F D L Db F F D F Ub D U Fb Db Fb Db Fb D F F F;0;14
2025-03-31;23:18:11;P3;45;00:08:39;16;0;87;U B B B D D Bb Ub R U Fb Bb Lb B D L D Lb L Rb B B Lb R F R D Rb Fb Db Fb Rb F Lb R F F Rb L L D F Lb Fb Lb R D B Rb Bb Rb Bb Db Rb B R B Bb Rb Bb L B R Lb B D Rb Bb Db B D R B R D Rb Db Bb D Rb Bb Lb B R Bb L B;0;16
2025-03-31;23:26:50;P4;46;00:08:53;16;0;101;B U D L L Bb L B L B Lb Fb Ub Fb R F R U Fb Rb Rb F D Fb R F Db R Bb D R Db Bb Rb Bb Bb Rb Lb D L D D F L L Fb Rb Fb Fb R F Db F R Fb Fb D D Fb Fb D D F F Lb F L U L Ub Fb B D Bb Db Lb Db L R F D Fb Db Rb Db Fb Fb Fb Db B Fb Bb F Bb D F F F Db B D;0;14
2025-03-31;23:35:44;P1;47;00:00:00;15;0;76;U F R Lb Fb L F Bb L L B Fb Bb Rb Bb R Db B Bb Db R B R Bb Db Rb B Fb Lb F L Fb Fb D Fb Db Fb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb D F R F Rb Db Fb F Db Fb Db Rb D R Db Db Bb Bb Bb D Bb Db Bb L B Lb;0;13
2025-03-31;23:35:44;P4;48;00:08:42;16;0;115;B Ub Bb Lb Db Db L Fb D R R F R Fb Fb Rb Bb F L Fb B Db B Rb Bb Db Rb D R D Lb Lb Db F D Lb F Db Fb Lb Db Db Bb Bb D D Bb Bb D D Bb Bb D F R R Fb Rb D Rb Fb Fb D F Lb F L Fb Fb Rb Db Fb R R F R D F Db D R D Rb Db Rb B R Bb Lb Db Fb D F L D B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;0;15
