Date;Start Run Timestamp;Parameter Set;Run Number;Run Duration (hh:mm:ss);Total Correct Pieces;Last Improvement Iteration;Sequence Length;Total Move Sequence;Improvement Count;Learned Sequence Reuse Count
2025-03-21;19:22:14;P3;135;00:05:53;16;25.710.000;90;B B Rb D Rb Bb Rb Rb F Ub L U Fb Fb L U Lb F D R D Rb B Rb Bb R Db Db B R Fb B F Rb Bb Rb Bb Rb B R Db Fb D F D F D Fb Db Fb R F Rb Fb Rb Fb Rb F R F Ub Bb Ub Bb Ub B U B U B Db Ub D U D U Bb Ub Bb Ub Bb U B U B Db Db U D Ub;1;9
2025-03-21;19:28:08;P2;136;00:01:17;15;7.830.000;111;Bb Fb L R R Ub R U R Lb D B Db L Lb Db B Db Bb Db Db B L Bb Ub B Rb Bb Bb R Bb U Ub F D Fb U F Db Fb Rb Db Rb D R B Rb Bb R Db Bb Db B D B D B Db Bb Fb U U U Fb Ub F U F D D D D U F D D Ub Db Db F R F R R L L R Lb Lb Fb Rb Fb Rb Rb Lb R L F R Db Db Lb Db Lb Db Lb Lb D L D L;2;11
2025-03-21;19:29:26;P2;137;00:07:04;14;0;60;B Fb Db Rb Fb U F B Lb F F L F D Fb Db Fb Db Fb D F D R Bb L B Rb Bb Lb B Db Rb D R U Rb Db R Ub D Db Lb U L D Lb Ub L Rb Bb Bb R R B B R R B B Rb;0;11
2025-03-21;19:36:30;P3;138;00:07:01;14;0;70;Bb Rb Fb L Db Lb U U Rb Ub Ub B Db Bb Ub B Rb Bb U R Lb Lb Fb Rb L L Db B D Fb Db Bb D F Db Bb D F Db B D Fb L U Lb Db L Ub Lb D Bb F F Bb Db F Db Db Db B B Db Fb D Fb B F Bb F F;0;12
2025-03-21;19:43:31;P1;139;00:06:38;14;3.210.000;99;B B Rb Ub B U Bb Lb Fb L D F D Fb Ub Bb Ub B U B U B Ub Bb Fb Rb U Fb Ub R F L R Bb Lb Bb Lb Bb L B L B Rb Lb F F F Rb F L L F L R Lb Rb F F R F R Lb Rb Rb Bb Lb Rb Rb Lb R R B R B B B Lb Lb B D F F D U U Db Fb Fb U U Fb Fb Db F F F F Ub Ub;1;10
2025-03-21;19:50:10;P2;140;00:06:21;13;11.790.000;81;B Rb Db B R Ub Bb U R U Lb Ub Rb Bb U B Ub Bb Lb Fb L B Lb F L D R Db Rb Db Rb Db R D R Bb U U U Bb D U Db U U Bb U B U B U R U R U Rb Rb Rb Ub Ub R R R Ub Rb Ub Rb L Rb Rb Lb D L U Lb Db Db L Ub Lb D;1;9
2025-03-21;19:56:32;P2;141;00:06:45;14;2.580.000;59;U B Rb Db Rb R Fb Fb Rb Bb L B U Db B B D Ub D D R U Rb Db Db Db Bb Ub Ub B D B Db F D Bb Db Fb D Lb Rb B L Bb R Lb Lb Ub Lb Ub Ub Ub L U L U Lb Ub L;1;11
2025-03-21;20:03:17;P2;142;00:06:09;13;8.280.000;80;B F Lb Fb F Ub Fb Ub Rb F R F U Fb Bb U B Ub L R L B Lb Rb Lb Fb Db B D F Db Bb D F R Fb L F Rb Fb Lb Ub B U B Ub B B U B Db Bb Db Bb Db B D B D B Bb R L Rb Rb Lb R B R Lb R R B Rb Bb L B R Bb R;2;9
2025-03-21;20:09:27;P1;143;00:06:21;13;6.090.000;101;Lb F F Ub R U Fb Fb U F F Db Fb L L U L L D Rb B Rb Bb Rb Rb Db Db B R Bb B Fb L F L F Lb Bb L B Fb Bb Lb F U Fb Ub Fb Ub Fb U F U Rb D D R D R D R R U Db U D U Db U Rb Db Db U Db Fb Ub Db U F Ub Ub Fb D F U Db Db Lb Db Lb Db R Lb Lb Lb Rb D L D L Db;1;12
2025-03-21;20:15:48;P3;144;00:02:49;15;14.730.000;99;Fb Rb Rb F Db Fb Bb F D Fb B Lb U L Ub F Db Db Fb L Ub Lb Fb L F U Ub Rb U R U L R Lb Ub L U Rb Ub Lb Rb B Db Fb Db F Db Db Bb Bb Lb Bb Rb B L Bb R B B Rb Lb R D R Db Lb R Lb Rb Db Db Db Rb D D D L L L Fb Bb F B Fb D B D B Db Db Bb Db Bb Db Fb Bb Bb Fb Fb;2;11
